Incident,Date,Offense Type,Premise
4203317,1/10/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
4206117,1/10/2017,CPS / CAC Juvenile Referral,Residence or House
12053117,1/10/2017,Aggravated Assault (Deadly Weapon),Apartment
4126417,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4145117,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4152317,1/10/2017,Fam Viol - S.B.Injury - Agg Assault (H),"Road, Street, or Sidewalk"
4152517,1/10/2017,Juvenile Abuse / Referrals,Residence or House
4349417,1/10/2017,Aggravated Assault (Deadly Weapon),Residence or House
4350717,1/10/2017,Aggravated Assault (Deadly Weapon),Apartment
4355317,1/10/2017,Aggravated Assault (Deadly Weapon),Residence or House
4357617,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4320217,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4321017,1/10/2017,Investigation - Family Violence,Residence or House
4321417,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4323817,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4331217,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4331917,1/10/2017,Aggravated Assault (Deadly Weapon),Apartment
4335217,1/10/2017,Investigation - Auto Theft,Apartment Parking Lot
4338517,1/10/2017,Aggravated Assault (Deadly Weapon),Residence or House
4347417,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Grocery Store or Supermarket Parking Lot
3980817,1/10/2017,Theft - All Other Items (Miscellaneous),"Multi-Plex Home (Duplex,Triplex Etc.)"
3983717,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
3990317,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
3992617,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
3998817,1/10/2017,Aggravated Assault (Deadly Weapon),Apartment
4010217,1/10/2017,Terroristic Threat by Other Means (T),Residence or House
4007917,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Condominium
4472017,1/10/2017,Robbery,Residence or House
3971717,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
3964717,1/10/2017,Aggravated Assault (Deadly Weapon),Residence or House
3976217,1/10/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
4199317,1/10/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
4181317,1/10/2017,Fam Viol - Harassment - By Other Means (T),"Libraries, Museums"
4184417,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4195417,1/10/2017,Aggravated Assault (Deadly Weapon),Convenience Store
4233017,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4164617,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Other Parking Lot
4067217,1/10/2017,Aggravated Robbery (Home Invasion),Residence or House
3938417,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
3945517,1/10/2017,Aggravated Assault (Deadly Weapon),Residence or House
4159017,1/10/2017,Aggravated Assault (Deadly Weapon),Apartment
4384417,1/10/2017,Theft - All Other Items (Miscellaneous),Apartment
4389017,1/10/2017,Criminal Mischief (Habitation) > $1500,Apartment
4390917,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4720617,1/10/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4719317,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4730217,1/11/2017,Terroristic Threat by Other Means (T),Apartment
4561917,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4571117,1/11/2017,Aggravated Assault (Deadly Weapon),Apartment
4585317,1/11/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
4587117,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4454817,1/11/2017,Aggravated Assault (Deadly Weapon),Residence or House
4786317,1/11/2017,Investigation - Assault,Residence or House
4789417,1/11/2017,Harassment - By Other Means (T),Apartment
4800117,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4800617,1/11/2017,Investigation - Family Violence,Residence or House
4804217,1/11/2017,Aggravated Assault (Deadly Weapon),Residence or House
4810517,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4816317,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4817617,1/11/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
4874617,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4886817,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5513317,1/11/2017,Fam Viol-Terroristic Threat Other Means(T),Convenience Store
6269817,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6731517,1/11/2017,Aggravated Assault (Deadly Weapon),Residence or House
4392117,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4430117,1/11/2017,Investigation - Family Violence,Apartment
4444917,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
12707317,1/11/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
45942117,1/11/2017,Assault (A/C) Bodily Force (H),Hospital
4460317,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5203217,1/11/2017,Fam Viol - Stalking - By Other Means (T),"Road, Street, or Sidewalk"
5051017,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4686617,1/11/2017,Fam Viol - Burg of Resid to Commit Assault,Apartment
4751917,1/11/2017,Assault (Police Officer)-Bodily Force (H),Apartment Parking Lot
4766317,1/11/2017,Aggravated Assault (Deadly Weapon),Residence or House
4767117,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Convenience Store Parking Lot
4767317,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4469217,1/11/2017,Investigation - Family Violence,Apartment
4481017,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4482417,1/11/2017,Investigation - Family Violence,Residence or House
4400617,1/11/2017,Indecent Exposure (Misdemeanor),Residence or House
4413717,1/11/2017,Investigation - Family Violence,Residence or House
4418417,1/11/2017,Theft From Person (Unclassified) - Robbery,Residence or House
4419317,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4422717,1/11/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
4553517,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
4560017,1/11/2017,Violation of a Protective Order,Apartment
4635117,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4638817,1/11/2017,Aggravated Assault (Deadly Weapon),Apartment
4693517,1/11/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment Rental Office
4693817,1/11/2017,Aggravated Assault (Deadly Weapon),Residence or House
4694917,1/11/2017,Parole or Probation Violator,Government or Public Building
4688617,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
4711317,1/11/2017,Assault (A/C) Bodily Force (H),Residence or House
4711717,1/11/2017,Affray (Fighting In A Public Place),Residence or House
4701517,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4956517,1/11/2017,Agg Assualt-Injury to Child (Fam Member),Apartment
5059117,1/11/2017,Theft From Person (Unclassified) - Robbery,Apartment
5069117,1/11/2017,Aggravated Assault (Deadly Weapon),Other Parking Lot
4765617,1/11/2017,Aggravated Assault (Deadly Weapon),Other Parking Lot
4615317,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4617517,1/11/2017,Aggravated Assault (Deadly Weapon),Residence or House
4611817,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4767717,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4834517,1/11/2017,Aggravated Robbery (Deadly Weapon),Apartment
4836317,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4846217,1/11/2017,Aggravated Assault (Deadly Weapon),Apartment
4850817,1/11/2017,Aggravated Assault (Deadly Weapon),Apartment
4856817,1/11/2017,Investigation - Family Violence,Apartment
4863317,1/11/2017,Investigation - Family Violence,Apartment
4865017,1/11/2017,Terroristic Threat by Other Means (T),Residence or House
4867417,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
14904117,1/11/2017,Outside Cases - All Other,"Other, Unknown, or Not Listed"
5018517,1/11/2017,Investigation - Family Violence,Apartment
5034117,1/11/2017,Sexual Assault (Force Intercourse),Hospital
4663917,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4670417,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4819217,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4819317,1/11/2017,Mental Illness,Apartment
4824617,1/11/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4824817,1/11/2017,Investigation - Family Violence,Residence or House
4890317,1/12/2017,Investigation - Other Offenses (Not Traff),Apartment Parking Lot
4901417,1/12/2017,Investigation - Family Violence,Residence or House
4903417,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Restaurant or Cafeteria Parking Lot
4904817,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5093517,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5086817,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
5087317,1/12/2017,Aggravated Assault (Deadly Weapon),Apartment
5314517,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5318317,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
7109317,1/12/2017,Investigation - Family Violence,"Field, Woods, Forest, Park"
7222817,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5005517,1/12/2017,Sexual Assault (Force Intercourse),Residence or House
4838118,1/12/2017,Aggravated Assault (Deadly Weapon),Highway or Freeway
5323917,1/12/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
5325617,1/12/2017,Public Intoxication PI / Drunk,Apartment
5325817,1/12/2017,Fam Viol - Harassment - By Other Means (T),Apartment
5327017,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5332417,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5333817,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5336817,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5338317,1/12/2017,Investigation - Family Violence,Convenience Store Parking Lot
5345217,1/12/2017,Affray (Fighting In A Public Place),Residence or House
5346717,1/12/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
5347617,1/12/2017,Aggravated Assault (Deadly Weapon),Apartment
5350117,1/12/2017,Investigation - Assault,Apartment
4924817,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5102617,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
5117417,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),"Other, Unknown, or Not Listed"
5118417,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5116217,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5164517,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5303817,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5058317,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5074517,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5074717,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5125917,1/12/2017,Investigation - Family Violence,Apartment
5127817,1/12/2017,Investigation - Family Violence,Miscellaneous Business (Non-Specific)
5262217,1/12/2017,Investigation - Family Violence,Apartment
5272317,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
5272717,1/12/2017,Investigation - Special Crimes,Residence or House
5274017,1/12/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
5276217,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5252817,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5255917,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5283117,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
16375917,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5043517,1/12/2017,Criminal Mischief (Auto) < $1500 Loss,Apartment Parking Lot
5052217,1/12/2017,Assault (A/C) Bodily Force (H),Apartment
5199017,1/12/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
5200217,1/12/2017,Investigation - Family Violence,Other Parking Lot
5195817,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
5172317,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
4959017,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4963617,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4965417,1/12/2017,Investigation - Family Violence,Apartment
4972917,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
4984117,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
4995317,1/12/2017,Aggravated Assault (Deadly Weapon),Apartment
5416417,1/12/2017,Lost and Missing Persons (Juveniles 0-17y),Apartment
5507817,1/12/2017,Theft - All Other Items (Miscellaneous),Vehicle/Auto Sales/Lease/Auto Parts Store
6457217,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),Hospital
7725617,1/12/2017,Fam Viol - Harassment - By Other Means (T),"Other, Unknown, or Not Listed"
19590117,1/12/2017,Harassment - By Other Means (T),Apartment
5287717,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5287917,1/12/2017,Aggravated Assault (Deadly Weapon),Apartment
5299817,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
5301017,1/12/2017,Aggravated Assault (Deadly Weapon),Apartment
5301717,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5304117,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5297617,1/12/2017,Investigation - Family Violence,Residence or House
5449017,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),"Other, Unknown, or Not Listed"
4998017,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5001417,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
5002817,1/12/2017,Agg Assault (Serious Bodily Injury) (H),Residence or House
5135517,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5147717,1/12/2017,CPS / CAC Juvenile Referral,Residence or House
5218317,1/12/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
5230817,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5231217,1/12/2017,Investigation - Family Violence,Residence or House
5237617,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5244817,1/12/2017,Fam Viol - Agg Assault (Impede Breath) (H),Apartment
4876017,1/12/2017,Aggravated Assault (Deadly Weapon),Residence or House
4878917,1/12/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
4879017,1/12/2017,Aggravated Assault (Deadly Weapon),Residence or House
4881317,1/12/2017,Aggravated Assault (Deadly Weapon),Apartment
6417217,1/12/2017,Agg Assualt-Injury to Child (Fam Member),Apartment
10146023,1/12/2017,Investigation - Family Violence,Residence or House
5448617,1/13/2017,Investigation - Family Violence,"Road, Street, or Sidewalk"
5434317,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5445117,1/13/2017,Aggravated Assault (Deadly Weapon),Other Parking Lot
5446017,1/13/2017,Criminal Mischief (Auto) < $1500 Loss,Restaurant or Cafeteria Parking Lot
5374917,1/13/2017,Aggravated Assault (Deadly Weapon),Convenience Store Parking Lot
5380617,1/13/2017,Investigation - Family Violence,Apartment
5381217,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5385617,1/13/2017,Investigation - Family Violence,Apartment
5393717,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5360617,1/13/2017,Investigation - Family Violence,"Road, Street, or Sidewalk"
5366017,1/13/2017,Investigation - Family Violence,Apartment
5371917,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5372717,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5513417,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Clothing Store
5517617,1/13/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
5785617,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5788717,1/13/2017,Aggravated Assault (Deadly Weapon),Residence or House
8632517,1/13/2017,Agg Assualt-Injury to Child (Fam Member),Apartment
7011517,1/13/2017,Investigation - Family Violence,Residence or House
138766517,1/13/2017,Sexual Assault (Force Intercourse),Apartment
5478117,1/13/2017,Aggravated Assault (Deadly Weapon),Strip Business Center Parking Lot
5934917,1/13/2017,Terroristic Threat by Other Means (T),Residence or House
5505417,1/13/2017,Aggravated Assault (Deadly Weapon),Residence or House
5508417,1/13/2017,Criminal Mischief (Auto) > $1500 Loss,Residence or House
5584017,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5593217,1/13/2017,Fam Viol - Harassment - By Other Means (T),Apartment
5583217,1/13/2017,Investigation - Family Violence,Residence or House
5593717,1/13/2017,Investigation - Family Violence,"Road, Street, or Sidewalk"
5604617,1/13/2017,Investigation - Assault,Residence or House
5607617,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Vacant Single Occ Resd(House,Townhs,Dplex)"
5623017,1/13/2017,Aggravated Assault (Deadly Weapon),Residence or House
5676717,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Other Parking Lot
5682217,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Grocery Store or Supermarket Parking Lot
5754417,1/13/2017,Fam Viol - Harassment - By Other Means (T),"Other, Unknown, or Not Listed"
5754617,1/13/2017,Capias / Old Warrants / New Traffic,Restaurant or Cafeteria Parking Lot
5764517,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5765917,1/13/2017,Fam Viol - Harassment - By Other Means (T),Apartment
5768917,1/13/2017,Aggravated Assault (Deadly Weapon),Apartment
5783117,1/13/2017,Investigation - Assault,Apartment
5825417,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5826217,1/13/2017,Investigation - Family Violence,Apartment
5826617,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5831517,1/13/2017,Fugitive (Inside) - Special Crimes,"Hotel, Motel, Inn, Etc."
129605617,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5352317,1/13/2017,Investigation - Family Violence,Residence or House
5405317,1/13/2017,Fam Viol-Terroristic Threat Other Means(T),Restaurant or Cafeteria
6850017,1/13/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
5352017,1/13/2017,Robbery,Apartment
5347817,1/13/2017,Juvenile Abuse / Referrals,Apartment
5544417,1/13/2017,Investigation - Family Violence,Apartment
5546917,1/13/2017,Aggravated Assault (Deadly Weapon),Apartment
5547217,1/13/2017,Fam Viol - Harassment - By Other Means (T),Apartment
5538817,1/13/2017,Aggravated Assault (Deadly Weapon),Residence or House
5561517,1/13/2017,Aggravated Assault (Deadly Weapon),Residence or House
5564517,1/13/2017,Investigation - Family Violence,Residence or House
5566617,1/13/2017,Sexual Assault (Other Penetration)(Adult),Residence or House
5650317,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5635217,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
5636317,1/13/2017,Criminal Mischief (Auto) < $1500 Loss,Apartment Parking Lot
5578117,1/13/2017,CPS / CAC Juvenile Referral,Miscellaneous Business (Non-Specific)
5663817,1/13/2017,Mental Illness,Residence or House
5663917,1/13/2017,Criminal Mischief (Auto) < $1500 Loss,"Road, Street, or Sidewalk"
5664317,1/13/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
5664917,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5669417,1/13/2017,Retaliation - By Threat (T),Residence or House
5710217,1/13/2017,Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
5741917,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5793317,1/13/2017,Affray (Fighting In A Public Place),Residence or House
5804617,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5808517,1/13/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
5811317,1/13/2017,Fam Viol - Harassment - By Other Means (T),Apartment
5813917,1/13/2017,Investigation - Family Violence,Residence or House
5817517,1/13/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
8325917,1/13/2017,Investigation - Family Violence,Residence or House
17294917,1/13/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
6110017,1/13/2017,Investigation - Sexual Assault - Rape,Residence or House
5708217,1/13/2017,Aggravated Assault (Deadly Weapon),Apartment Parking Lot
5701717,1/13/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
5954917,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6100017,1/14/2017,Investigation - Family Violence,Residence or House
6100717,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6008517,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6010717,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6013317,1/14/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
6016817,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6020317,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5963317,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6021617,1/14/2017,Fam Viol - Agg Assault (Impede Breath) (H),Apartment
6025117,1/14/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
6040617,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6116517,1/14/2017,Investigation - Family Violence,Apartment
6120317,1/14/2017,Assault (A/C) Bodily Force (H),Residence or House
6129117,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6132217,1/14/2017,Criminal Mischief (Habitation) < $1500,Apartment
6135017,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Restaurant or Cafeteria Parking Lot
6197817,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6199217,1/14/2017,Juvenile Abuse / Referrals,Residence or House
6211817,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6225817,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6226217,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6292817,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Theatres, Dinner Theaters, Auditoriums"
6394717,1/14/2017,Aggravated Assault (Deadly Weapon),Apartment
7822317,1/14/2017,Sexual Assault (Other Penetration)(Adult),Residence or House
6916817,1/14/2017,Outside Case - Assault,"Road, Street, or Sidewalk"
5867117,1/14/2017,Assault (A/C) Bodily Force (H),Apartment
5868617,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Hotel, Motel, Inn, Etc."
5881917,1/14/2017,Investigation - Family Violence,Residence or House
5884517,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
5892217,1/14/2017,Aggravated Sexual Assault (Other Penetrat),"Road, Street, or Sidewalk"
5887617,1/14/2017,Aggravated Assault (Deadly Weapon),Apartment
5888217,1/14/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
5897617,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5898117,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5901117,1/14/2017,Investigation - Family Violence,Residence or House
6841017,1/14/2017,Investigation - Family Violence,Residence or House
6406417,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6406517,1/14/2017,Aggravated Assault (Deadly Weapon),Residence or House
6411517,1/14/2017,Investigation - Family Violence,Residence or House
6486517,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
7436217,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
33429117,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6190917,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
6192117,1/14/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
54349717,1/14/2017,Juvenile Abuse / Referrals,Residence or House
5942117,1/14/2017,Aggravated Assault (Deadly Weapon),Residence or House
5833817,1/14/2017,Aggravated Assault (Deadly Weapon),Residence or House
5835517,1/14/2017,Aggravated Assault (Deadly Weapon),Apartment
5835917,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5836017,1/14/2017,Aggravated Assault (Deadly Weapon),Residence or House
5838117,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5846217,1/14/2017,Aggravated Assault (Deadly Weapon),"Road, Street, or Sidewalk"
5852217,1/14/2017,Investigation - Family Violence,Apartment
5853317,1/14/2017,Theft From Person (Unclassified) - Robbery,"Road, Street, or Sidewalk"
5855717,1/14/2017,Aggravated Assault (Deadly Weapon),Residence or House
5857617,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5860417,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5862917,1/14/2017,Fam Viol - Agg Assault (Impede Breath) (H),Apartment
5933417,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Other Parking Lot
5934417,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5934517,1/14/2017,Investigation - Robbery,Restaurant or Cafeteria Parking Lot
5929117,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5917417,1/14/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
5923817,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5924917,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
5937017,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5937617,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5912717,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
5913117,1/14/2017,Theft From Person (Unclassified) - Robbery,Apartment
5915817,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6457417,1/14/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
6463317,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6465317,1/14/2017,Investigation - Family Violence,Hospital
6470017,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Bar or Night Club Parking Lot
9133117,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
9985817,1/14/2017,Fam Viol - Harassment - By Other Means (T),Apartment
77527617,1/14/2017,Sexual Assault (Force Intercourse),Apartment
6058017,1/14/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment
6073317,1/14/2017,Investigation - Family Violence,Residence or House
6076417,1/14/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
