File Name,REGION,INSTITUTION,MALE,FEMALE,TOTAL,Black #,Black %,White #,White %,Latinx #,Latinx %,American Indian #,American Indian %,Asian #,Asian %,Unknown #,Unknown %,TOTAL,Validation Link
Inmate Characteristics Report FY 2019 Q1.pdf,MCTC,2824,.,2824,1856,65.7%,926,32.8%,8,.3%,15,.5%,19,.7%,2824,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,NBCI,1159,.,1159,958,82.7%,189,16.3%,1,.1%,4,.3%,7,.6%,1159,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,RCI,1739,.,1739,1256,72.2%,459,26.4%,4,.2%,7,.4%,13,.7%,1739,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,WCI,1673,.,1673,1191,71.2%,459,27.4%,3,.2%,9,.5%,11,.7%,1673,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,,,,,,,,,,,,,,,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,TOTAL,8022,.,8022,5617,70.0%,2291,28.6%,18,.2%,36,.4%,60,.7%,8022,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,BCCC,430,.,430,371,86.3%,55,12.8%,.,.,1,.2%,3,.7%,430,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,BCF,583,.,583,425,72.9%,151,25.9%,1,.2%,3,.5%,3,.5%,583,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,CMCF,468,.,468,339,72.4%,126,26.9%,1,.2%,1,.2%,1,.2%,468,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,DRCF,796,.,796,620,77.9%,170,21.4%,2,.3%,1,.1%,3,.4%,796,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,ECI-A,594,.,594,410,69.0%,179,30.1%,2,.3%,.,.,3,.5%,594,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,ECI-E,1369,.,1369,886,64.7%,453,33.1%,5,.4%,3,.2%,22,1.6%,1369,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,ECI-W,1324,.,1324,962,72.7%,342,25.8%,3,.2%,4,.3%,13,1.0%,1324,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,EPRU,167,.,167,116,69.5%,47,28.1%,2,1.2%,.,.,2,1.2%,167,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=14&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,JCI MCIJ,1576 608,. .,1576 608,1278 423,81.1% 69.6%,283 170,18.0% 28.0%,3 1,.2% .2%,5 .,.3% .,7 14,.4% 2.3%,1576 608,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=15&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,MCIW,.,763,763,343,45.0%,404,52.9%,6,.8%,3,.4%,7,.9%,763,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=16&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,MRDCC,440,.,440,335,76.1%,101,23.0%,.,.,.,.,4,.9%,440,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=17&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,SMPRU,143,.,143,108,75.5%,33,23.1%,.,.,1,.7%,1,.7%,143,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=18&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,TOTAL,8498,763,9261,6616,71.4%,2514,27.1%,26,.3%,22,.2%,83,.9%,9261,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=19&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,PATX-M PATX-F TOTAL,817 . 817,. 54 54,817 54 871,600 23 623,73.4% 42.6% 71.5%,202 30 232,24.7% 55.6% 26.6%,4 . 4,.5% . .5%,5 . 5,.6% . .6%,6 1 7,.7% 1.9% .8%,817 54 871,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=20&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,BCBIC MTC,105 61,16 .,121 61,100 49,82.6% 80.3%,19 10,15.7% 16.4%,. 1,. 1.6%,. .,. .,2 1,1.7% 1.6%,121 61,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=21&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,YDC,15,.,15,14,93.3%,1,6.7%,.,.,.,.,.,.,15,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=22&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,TOTAL CHDU THRESH,181 156 27,16 9 .,197 165 27,163 133 25,82.7% 80.6% 92.6%,30 31 1,15.2% 18.8% 3.7%,1 . .,.5% . .,. 1 .,. .6% .,3 . 1,1.5% . 3.7%,197 165 27,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=23&page=0
Inmate Characteristics Report FY 2019 Q1.pdf,TOTAL TOTAL,183 17701,9 842,192 18543,158 13177,82.3% 71.1%,32 5099,16.7% 27.5%,. 49,. .3%,1 64,.5% .3%,1 154,.5% .8%,192 18543,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=95c8062bb22f051a_3abff4f8a2b47ed6&schid=8018&row=24&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,NBCI,1269,.,1269,1042,82.1%,215,16.9%,1,.1%,4,.3%,7,.6%,1269,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,RCI,1743,.,1743,1271,72.9%,449,25.8%,4,.2%,7,.4%,12,.7%,1743,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,WCI,1485,.,1485,1059,71.3%,406,27.3%,3,.2%,9,.6%,8,.5%,1485,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,TOTAL,7977,.,7977,5613,70.4%,2256,28.3%,16,.2%,34,.4%,58,.7%,7977,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,BCCC BCF,452 474,. .,452 474,389 344,86.1% 72.6%,58 126,12.8% 26.6%,. 1,. .2%,1 2,.2% .4%,4 1,.9% .2%,452 474,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,CMCF,493,.,493,349,70.8%,138,28.0%,2,.4%,1,.2%,3,.6%,493,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,DRCF,824,.,824,626,76.0%,188,22.8%,3,.4%,.,.,7,.8%,824,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,ECI-A,566,.,566,404,71.4%,157,27.7%,2,.4%,1,.2%,2,.4%,566,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,ECI-E,1380,.,1380,880,63.8%,468,33.9%,6,.4%,1,.1%,25,1.8%,1380,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,ECI-W,1302,.,1302,949,72.9%,334,25.7%,2,.2%,5,.4%,12,.9%,1302,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,EPRU,150,.,150,100,66.7%,49,32.7%,1,.7%,.,.,.,.,150,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,JCI,1512,.,1512,1225,81.0%,268,17.7%,2,.1%,6,.4%,11,.7%,1512,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,MCIJ,741,.,741,529,71.4%,196,26.5%,2,.3%,1,.1%,13,1.8%,741,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,MCIW,.,734,734,338,46.0%,378,51.5%,5,.7%,4,.5%,9,1.2%,734,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,MRDCC,377,.,377,287,76.1%,84,22.3%,.,.,.,.,6,1.6%,377,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=14&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,SMPRU,155,.,155,125,80.6%,26,16.8%,.,.,2,1.3%,2,1.3%,155,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=15&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,TOTAL PATX-M PATX-F TOTAL,8426 864 . 864,734 . 51 51,9160 864 51 915,6545 619 22 641,71.5% 71.6% 43.1% 70.1%,2470 225 29 254,27.0% 26.0% 56.9% 27.8%,26 7 . 7,.3% .8% . .8%,24 5 . 5,.3% .6% . .5%,95 8 . 8,1.0% .9% . .9%,9160 864 51 915,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=16&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,BCBIC MTC,84 66,20 .,104 66,74 55,71.2% 83.3%,27 10,26.0% 15.2%,. .,. .,. 1,. 1.5%,3 .,2.9% .,104 66,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=17&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,YDC TOTAL CHDU THRESH TOTAL,16 166 155 29 184,. 20 5 . 5,16 186 160 29 189,15 144 119 23 142,93.8% 77.4% 74.4% 79.3% 75.1%,1 38 38 5 43,6.3% 20.4% 23.8% 17.2% 22.8%,. . . . .,. . . . .,. 1 1 1 2,. .5% .6% 3.4% 1.1%,. 3 2 . 2,. 1.6% 1.3% . 1.1%,16 186 160 29 189,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=18&page=0
Inmate Characteristics Report FY 2019 Q2.pdf,TOTAL,17617,810,18427,13085,71.0%,5061,27.5%,49,.3%,66,.4%,166,.9%,18427,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=cc5d69f56f3d41b8_3abff4f8a2b47ed6&schid=8018&row=19&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,WEST MCIH MCTC,642 2880,,. 642 . 2880,339 1916,52.8% 66.5%,283 926,44.1% 32.2%,2 6,.3% .2%,2 .3% 13 .5%,16 19,2.5% .7%,642 2880,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,NBCI,1289,,. 1289,1055,81.8%,222,17.2%,1,.1%,4 .3%,,7 .5%,1289,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,RCI,1740,,. 1740,1273,73.2%,446,25.6%,4,.2%,7 .4%,10,.6%,1740,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,WCI,1300,,. 1300,922,70.9%,360,27.7%,2,.2%,8 .6%,,8 .6%,1300,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,TOTAL,7851,,. 7851,5505,70.1%,2237,28.5%,15,.2%,34 .4%,60,.8%,7851,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,EAST BCCC BCF,474 237,,. 474 . 237,420 177,88.6% 74.7%,48 57,10.1% 24.1%,. 1,. .4%,3 .6% .,.,3 .6% 2 .8%,474 237,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,CMCF,475,,. 475,336,70.7%,134,28.2%,1,.2%,1 .2%,,3 .6%,475,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,DRCF,1012,,. 1012,742,73.3%,260,25.7%,3,.3%,1 .1%,,6 .6%,1012,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,ECI-A,556,,. 556,394,70.9%,155,27.9%,3,.5%,.,.,4 .7%,556,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,ECI-E,1373,,. 1373,892,65.0%,445,32.4%,7,.5%,3 .2%,26,1.9%,1373,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,ECI-W EPRU,1306 163,,. 1306 . 163,958 106,73.4% 65.0%,335 57,25.7% 35.0%,2 .,.2% .,3 .2% .,.,8 .6% . .,1306 163,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,JCI,1518,,. 1518,1223,80.6%,273,18.0%,4,.3%,7 .5%,11,.7%,1518,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,MCIJ MCIW MRDCC SMPRU,769 . 438 159,722,. 769 722 . 438 . 159,562 339 342 131,73.1% 47.0% 78.1% 82.4%,191 365 90 23,24.8% 50.6% 20.5% 14.5%,1 4 2 .,.1% .6% .5% .,. 4 .6% . 3 1.9%,. 15 10 . 2,2.0% 1.4% 4 .9% 1.3%,769 722 438 159,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2019 Q3.pdf,TOTAL PATX PATX-M PATX-F TOTAL DPDS BCBIC MTC YDC TOTAL OTHER CHDU THRESH TOTAL GRAND TOTAL,8480 890 . 890 76 70 20 166 129 30 159 17546,722 48 48 18 18 10 10 798,9202 . 890 48 938 94 . 70 . 20 184 139 . 30 169 18344,6622 626 20 646 72 57 17 146 107 25 132 13051,72.0% 70.3% 41.7% 68.9% 76.6% 81.4% 85.0% 79.3% 77.0% 83.3% 78.1% 71.1%,2433 246 28 274 17 11 2 30 31 5 36 5010,26.4% 27.6% 58.3% 29.2% 18.1% 15.7% 10.0% 16.3% 22.3% 16.7% 21.3% 27.3%,28 4 . 4 . . . . . . . 47,.3% .4% . .4% . . . . . . . .3%,25 .3% 6 .7% . 6 .6% . . 1 5.0% 1 .5% 1 .7% . 1 .6% 67 .4%,94 . . . 2 . 169,1.0% 8 .9% . . 8 .9% 5 5.3% 2.9% . . 7 3.8% . . . . . . .9%,9202 890 48 938 94 70 20 184 139 30 169 18344,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=5bb5c3cefc3e62e1_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,WEST MCIH,655,,. 655,346,52.8%,287,43.8%,3,.5%,1 .2%,18,2.7%,655,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,MCTC,2888,,. 2888,1929,66.8%,924,32.0%,6,.2%,12 .4%,17,.6%,2888,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,NBCI,1297,,. 1297,1068,82.3%,217,16.7%,1,.1%,4 .3%,,7 .5%,1297,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,RCI,1733,,. 1733,1266,73.1%,447,25.8%,3,.2%,7 .4%,10,.6%,1733,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,WCI,1295,,. 1295,919,71.0%,357,27.6%,2,.2%,9 .7%,,8 .6%,1295,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,TOTAL EAST BCCC BCF,7868 472 167,,. 7868 . 472 . 167,5528 425 120,70.3% 90.0% 71.9%,2232 44 46,28.4% 9.3% 27.5%,15 . .,.2% . .,33 .4% 1 .2% .,60 2 .,.8% .4% 1 .6%,7868 472 167,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,CMCF,504,,. 504,368,73.0%,132,26.2%,2,.4%,.,. 2,.4%,504,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,DRCF,1048,,. 1048,780,74.4%,257,24.5%,2,.2%,2 .2%,,7 .7%,1048,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,ECI-A,598,,. 598,425,71.1%,168,28.1%,2,.3%,.,.,3 .5%,598,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,ECI-E,1361,,. 1361,872,64.1%,454,33.4%,5,.4%,1 .1%,29,2.1%,1361,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,ECI-W,1316,,. 1316,972,73.9%,330,25.1%,3,.2%,5 .4%,,6 .5%,1316,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,EPRU,173,,. 173,120,69.4%,49,28.3%,2,1.2%,1 .6%,,1 .6%,173,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2019 Q4.pdf,JCI,1503,,. 1503,1211,80.6%,272,18.1%,5,.3%,8 .5%,,7 .5%,1503,,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=9c1d93370aca5efb_3abff4f8a2b47ed6&schid=8018&row=12&page=0
